	BestOf	1NN
50Words	0.758000	0.631000
Adiac	0.731500	0.611000
ArrowHead	0.800000	0.800000
Beef	0.666900	0.667000
BeetleFly	0.637500	0.750000
BirdChicken	0.800000	0.550000
CBF	0.996000	0.852000
Car	0.741800	0.733000
ChlorineConcentration	0.655700	0.650000
CinCECGtorso	0.880400	0.897000
Coffee	1.000000	1.000000
Computers	0.608000	0.576000
CricketX	0.772000	0.577000
CricketY	0.762000	0.567000
CricketZ	0.746000	0.587000
DiatomSizeReduction	0.935500	0.935000
DistalPhalanxOutlineAgeGroup	0.765000	0.782000
DistalPhalanxOutlineCorrect	0.768000	0.752000
DistalPhalanxTW	0.747500	0.727000
ECG200	0.780000	0.880000
ECG5000	0.926700	0.925000
ECGFiveDays	0.994200	0.797000
Earthquakes	0.689400	0.674000
FaceAll	0.808000	0.714000
FaceFour	0.806800	0.784000
FacesUCR	0.912000	0.769000
Fish	0.822900	0.783000
FordA	0.868900	0.659000
FordB	0.801200	0.558000
GunPoint	0.909900	0.913000
Ham	0.600000	0.600000
HandOutlines	0.801000	0.801000
Haptics	0.370100	0.370000
Herring	0.515600	0.516000
InlineSkate	0.309100	0.342000
InsectWingbeatSound	0.578000	0.562000
ItalyPowerDemand	0.957200	0.955000
LargeKitchenAppliances	0.765300	0.493000
Lightning2	0.869000	0.754000
Lightning7	0.712000	0.575000
MALLAT	0.914100	0.914000
Meat	0.933100	0.933000
MedicalImages	0.747000	0.684000
MiddlePhalanxOutlineAgeGroup	0.737500	0.740000
MiddlePhalanxOutlineCorrect	0.682000	0.753000
MiddlePhalanxTW	0.581000	0.561000
MoteStrain	0.822200	0.879000
NonInvasiveFetalECG1	0.829000	0.829000
NonInvasiveFetalECG2	0.879900	0.880000
OSULeaf	0.640500	0.521000
OliveOil	0.858500	0.867000
PhalangesOutlinesCorrect	0.776200	0.761000
Phoneme	0.227000	0.109000
Plane	0.981000	0.962000
ProximalPhalanxOutlineAgeGroup	0.785100	0.785000
ProximalPhalanxOutlineCorrect	0.824700	0.808000
ProximalPhalanxTW	0.745000	0.708000
RefrigerationDevices	0.432000	0.395000
ScreenType	0.411000	0.360000
ShapeletSim	0.750000	0.539000
ShapesAll	0.802000	0.752000
SmallKitchenAppliances	0.672000	0.341000
SonyAIBORobotSurface	0.709900	0.695000
SonyAIBORobotSurfaceII	0.848800	0.859000
StarLightCurves	0.949600	0.849000
Strawberry	0.947800	0.938000
SwedishLeaf	0.846000	0.789000
Symbols	0.901500	0.900000
SyntheticControl	0.983000	0.880000
ToeSegmentation1	0.767500	0.680000
ToeSegmentation2	0.846200	0.808000
Trace	0.990000	0.760000
TwoLeadECG	0.868600	0.747000
TwoPatterns	0.998000	0.910000
UWaveGestureLibraryAll	0.966000	0.948000
Wafer	0.994600	0.995000
Wine	0.592600	0.611000
WordsSynonyms	0.748000	0.618000
Worms	0.425400	0.365000
WormsTwoClass	0.674000	0.586000
Yoga	0.818000	0.830000
uWaveGestureLibraryX	0.773000	0.739000
uWaveGestureLibraryY	0.699000	0.662000
uWaveGestureLibraryZ	0.678000	0.650000
